song,lyrics,annotation
I'M THAT GIRL,Please motherfuckers ain't stop– please motherfuckers\nPlease mother- please mother– please motherfuckers\nBitch please motherfuckers please mother– please mother–\nPlease motherfuckers please mother– please motherfu–\nPlease motherfuckers ain't stopping me\nPlease motherfuckers ain't stopping me\nPlease motherfuckers ain't stopping me\nPlease motherfuckers ain't stopping me\n\nI pull up in these clothes look so good\n'Cause I'm in that hoe\nYou know all these songs sound good\n'Cause I'm on that hoe\nDeadass deadass I'm deadass\n\nIt's not the diamonds it's not the pearls\n\nI'm that girl (I'm that girl) it's just that I'm that girl (I'm that girl)\n\nIt's not my man (ooh) it's not my stance (ooh)\n\nI'm that girl (I'm that girl) it's just that I'm that girl\nFrom the top of the morning I shine (ah-ooh)\n\nRight through the blinds (ah-ooh)\nTouching everything in my plain view\nAnd everything next to me gets lit up too (ugh)\nYou see it (ah-ah-ah-ah) yeah\nYou see it when you look to me\nI didn't want this power (I ain't want it)\nI didn't want this power (I ain't want it)\nYou know love is my weakness\nDon't need drugs for some freak shit\nI'm just high all the time I'm out of my mind\n\nI'm tweaked (tweaking tweaking)\nFreaking on the weekend I'm indecent let it begin (ooh-ooh-ooh)\nI be pulling up in that '92 DeVille Cadillac with them vogues losing my mind\nBe-be-beasting un-American I don't need no friends\nI been thugging for my un-American life lights in these deep flawless skies\nOff the deep end (yuh) such a heathen\nWhy they let me outside? (Yeah) I pull relief in (yeah)\nBring that beat in now I can breathe again\nI be beating down the block knocking Basquiats off the wall\nAll that's how I ball\nCleanse me of my sins my un-American life\n\nPlease motherfuckers ain't stop– please motherfuckers\nPlease mother- please mother– please motherfuckers\nBitch please motherfuckers please mother– please mother–\nPlease motherfuckers please mother– please motherfu–\nPlease motherfuckers ain't stopping me\nPlease motherfuckers ain't stopping me\nPlease motherfuckers ain't stopping me\nPlease motherfuckers\n\n,With “IM THAT GIRL” the theme and message for Beyoncé’s seventh studio album are made abundantly clear and set out in a thesis-like manner. From the Tommy Wright III Mac-T Dog & Princess Loko sample of “Still Pimpin” introducing the album to the dark reggaeton & afrobeat’s infused beat illustrating the sonic landscape for the album. Beyoncé states out the gate that she will not be stopped 25 years in the game exploring her unwanted claim to power that has arose not from material possession or her husband but because she is ‘that girl.\nShe would also make reference to the opening track on “ALIEN SUPERSTAR” with the lyrics embedded in the chorus: “I’m too classy for this world forever I’m that girl Feed you diamonds and pearls ooh baby”. As well as track 10 “MOVE” where Tems’s sings “Who this girl in the back of the room? It’s the groove it’s the Yoncé groove”.
COZY,This a reminder\n\nDamn I love the burning of the dagger\nFrom the words that you say (fuck yeah)\nDancin' in the mirror kiss my scars\nBecause I love what they made (ooh yeah)\nShe's a god she's a hero\nShe survived all she been through\nConfident damn she lethal\nMight I suggest you don't fuck with my sis\n'Cause she comfortable\nComfortable in my skin\nCozy with who I am\nComfortable in my skin (cozy cozy)\nComfortable in my skin\nFeet up above your sins\nI love myself goddamn (cozy cozy)\nSo cozy I love me\nThey hate me because they want me\n(I'm dark brown dark skin light skin beige)\n(Fluorescent beige bitch I'm black)\nBeen down been up been broke broke down bounced back\nBeen off been on been back what you know about that?\nBeen the light been dark been the truth been that King Bey energy\nI been thick been fine still a ten still here that's all me\nBlack like love too deep\nDance to the soles of my feet\nGreen eyes envy me\nPaint the world pussy pink\nBlue like the soul I crowned\nPurple drank and couture gowns\nGold fangs a shade God made\nBlue black white and brown\nPaint the town red like cinnamon\nYellow diamonds limoncello glisterin'\nRainbow gelato in the streets\nRenaissance yachtin' in Capri\nYou're a god (you're a god) you're a hero (you're a hero)\nYou survived all you been through\nConfident damn you lethal\nMight I suggest you don't fuck with my sis\n'Cause she comfortable\nComfortable in my skin\nCozy with who I am\nComfortable in my skin (cozy cozy)\nComfortable in my skin\nCozy with who I am\nI love myself goddamn (cozy cozy)\nI'm cozy (I'm cozy) I'm juicy (I'm juicy)\nYou hate me (you hate me) 'cause you want me ('cause you want me)\nI'm swaggy (I'm swaggy) effortlessly (effortlessly)\nThat's how God made me (how God made me)\nSo bitch pay me (so pay me ching-a-ling ching ching) (I'm black)\n(I'm probably one of the blackest motherfuckers walking around here)\nCozy\n(In this motherfucking place)\n(I'm probably one of the blackest motherfuckers in this house)\nCozy\n(I'm black like that)\nComfortable in my skin\nCozy with who I am\nI love myself goddamn (cozy cozy)\n\nUnique\nUnique is what you are\n\n,“COZY” serves as a reminder written from a third-person perspective of Beyoncé’s triumphs over her struggles and solidification at the top of the game.
ALIEN SUPERSTAR,Please do not be alarmed remain calm\nDo not attempt to leave the dancefloor\nThe DJ booth is conducting a tro-tro-troubleshoot test of the entire system\nI'm one of one I'm number one I'm the only one\nDon't even waste your time trying to compete with me (don't do it)\nNo one else in this world can think like me (true)\nI'm twisted (twisted) I'll contradict it keep him addicted\nLies on his lips I lick it\nUnique that's what you are\nStilettos kicking vintage crystal off the bar\nCategory bad bitch I'm the bar (ooh)\nAlien superstar whip whip\nI'm too classy for this world forever I'm that girl\nFeed you diamonds and pearls\nOoh baby I'm too classy to be touched\nI paid 'em all in dust\nI'm stingy with my love\nOoh baby you are (U-N-I-Q-U-E)\nOoh I'm stingy with my love\nOoh baby I'm (U-N-I-Q-U-E)\nOh I'm stingy with my love (unique)\nUnicorn is the uniform you put on\nEyes on you when you perform\nEyes on I when I put on\nMastermind in haute couture\nLabel whores can't clock I'm so obscure (unique)\nMasterpiece genius drip intravenous\nPatty cake on that wrist\nTiffany Blue billboards over that ceiling (unique)\nWe don't like plain\nAlways dreamed of paper planes\nMile high when I rodeo then I come down and take off again (unique)\nYou see pleasure in my glare\nLook over my shoulder and you ain't scared\nThe effects you have on me when you stare\nHead on a pillow hike it in the air\nI'm too classy for this world forever I'm that girl\nFeed you diamonds and pearls\nOoh baby I'm too classy to be touched\nI paid 'em all in dust (unique)\nI'm stingy with my love ooh baby\nI got pearls beneath my legs my lips my hands my hips (U-N-I-Q-U-E)\nI got diamonds beneath my thighs where his ego will find bliss\nCan't find an ocean deep that can't compete with this cinnamon kiss (U-N-I-Q-U-E)\nFire beneath your feet music when you speak you're so unique\nUnique that's what you are\nLingerie reflecting off the mirror on the bar\nCategory sexy bitch I'm the bar\nAlien superstar\nWe dress a certain way we walk a certain way\nWe talk a certain way we-we paint a certain way\nWe we make love a certain way you know?\nAll of these things we do in a different unique specific way that is personally ours\nWe just reaching out to the solar\nSystem we flying over\nBullshit we flying over\nSupernatural love up in the air\n\nI just talk my shit Casanova\nSuperstar supernova power pull 'em in closer\nIf that's your man then why he over here?\n\n(Unique)\n\n,“ALIEN SUPERSTAR” is Beyoncé’s own appraisal defining herself as one and only.\nBey is one of the best-selling artists of all time with over 100 million records sold worldwide and further 60 million records while she was part of the Destiny’s Child. She is one the most-awarded female artists of all time. In 2021 she broke the record at the 64th Annual Grammy Awards ceremony for both the most awarded and the most nominated singer in Grammy’s history with 28 Grammys won and total of 79 nominations. In 2012 she was third on VH1’s list of 100 Greatest Women In Music. She was also recognized by many other societies for her contribution in music humanitarian effort and philanthropy. After everything she achieved in her career Beyoncé rightfully earned a nickname Queen B. With the success she accumulated over the years Beyoncé can easily say for herself that she’s one of the greatest of all time. She knows that what she accomplished is far greater from the average human so she is defining her superstardom as being extraterrestrial out of this world.
CUFF IT,I feel like fallin' in love (fallin' in love)\nI'm in the mood to fuck somethin' up (tonight I'm fuckin' somethin' up baby)\nI need some drink in my cup (I need a drink) hey (pour me a drink)\nI'm in the mood to fuck somethin' up (I'm in the mood to fuck somethin' up)\nI wanna go missin' I need a prescription\nI wanna go higher can I sit on top of you? (Oh-la-la-la-la-la-la-la)\nI wanna go where nobody's been (I wanna go where nobody's been)\nHave you ever had fun like this? Oh whoa (have you ever had fun? Yeah)\nWe gon' fuck up the night black lights\nSpaceships fly (spaceships fly) yeah\nUnapologetic when we fuck up the night fuck up the night\nWe gettin' fucked up tonight\nWe gon' fuck up the night\nBet you you'll see far\nBet you you'll see stars\nBet you you'll elevate\nBet you you'll meet God\n'Cause I feel like fallin' in love\nI'm in the mood to fuck somethin' up\n'Cause we gon' fuck up the night\nWhat's in these four walls? You sexy my love (turn it up)\nDon't miss this roll call is you here or what? Yeah (roll it up)\nShow up show up (show up show up) po' up po' up oh (po' up po' up)\nYou Mister Nasty I'll clean it up\nGo where nobody's been (wanna go where nobody's been)\nHave you ever had fun like this? (Have you ever had fun? Yeah)\nI wanna go missin' I need a prescription\nI wanna go higher can I sit on top of you?\nWe gon' fuck up the night (funk it up funk it up) black lights\nSpaceships fly (spaceships fly) yeah\nUnapologetic when we fuck up the night (funk it up funk it up) fuck up tonight\nWe gettin' fucked up tonight\nWe gon' fuck up the night\nBet you you'll see far\nBet you you'll see stars\nBet you you'll elevate\nBet you you'll meet God\n'Cause I feel like fallin' in love\nI'm in the mood to fuck somethin' up\n'Cause we gon' fuck up the night\nHypersonic sex erotic\nOn my body boy you got it\nHit them 'draulics while I ride it\nGot me actin' hella thotty\nSo excited so exotic\nI'm a seasoned professional\nSqueeze it don't let it go\nTease it no self-control\nI got time today (I got time today I got time)\nOh I (I got time today I got time)\nI can't wait to come out and play\nOoh yeah you\nCome and cuff it cuff it cuff it cuff it baby\nWhile I buss it buss it buss it for you baby\nOh baby\nAnywhere anytime\nI don't mind I don't mind\nYeah (I don't mind)\nFor you (all for you)\nI'm backin' the truck up huh (back that truck up)\nFor you (all for you)\nA bitch'll get fucked up (I fuck you up)\nFor you (all for you)\nI'm puttin' my cup up (put my cup up yeah)\nFor you (all for you)\n'Cause we gon' fuck up the night\nTake flight blindin' lights (yeah)\nFuck it up fuck it up fuck it up\n(Unapologetic when we fuck up the night)\nBet you you'll see stars\nBet you you'll go far\nBet you you'll levitate\nBet you you'll meet God (party people roll up)\nOoh (yeah huh)\nWe gon' fuck up the night (yeah)\nSpaceships fly\nFuck it up fuck it up\n\n,“CUFF IT” sees Beyoncé soar on a dance-pop and funk leaning record where the thematic concept matches the groove sparked in the production.\nThe track is simply about falling in love having drank in her cup fucking up the night getting high as spaceships & getting her husband to cuff it: all ideal on a night out. With Nile Rodgers on guitar & Raphael Saadiq on drums & bass the song breathes undeniable elements of the late ‘70s an the early '90s.
ENERGY,On stage rocking I'm stir crazy\nCoco flow like 1980s\nCome let's tell a drop lazy\nNone of that maybe\nEnergy\nEnergy\nEnergy\nJust vibe\nVoting out 45 don't get outta line\nOoh ooh ooh ooh\nPick a side\nOnly double lines we cross is dollar signs yeah\nOoh ooh ooh ooh\nHold up\nWait I hear you just got paid make it rain energy\nShe more Cancun he more Saint-Tropez\nBig wave in the room the crowd gon' move\nLook around everybody on mute\nLook around it's me and my crew\nBig energy\nHe was on stop mode got froze\nFroze from page Vogue no pose\nChat too much full clip unload\nThat's that Kodak energy\nEnergy\nEnergy\nEnergy\nYeah yeah\nGold links raw denim\nYou know that we do it grande\nYou know that I'm gon' be extra\nWhen that camera go pop pop pop pop pop\nKeep 'em waiting like dot dot dot dot dot\nOoh la la la\nThat's the way them boys sound when I walk through that block block block\nThen I Uzi that doozie shot shot shot\nWe was just chillin' mindin' our business\nPoppin' our pain and champagne through the ceiling\nSippin' it up flickin' it up\nAll this good energy got you all in your feelings feelings\nI'm crazy I'm swearin'\nI'm daring your man's staring\nI just entered the country with derringers\n'Cause them Karens just turned into terrorists\nHe was on stop mode got froze\nFroze from page Vogue no pose\nChat too much full clip unload\nThat's that Kodak energy\nEnergy\nEnergy\nEnergy\nYeah yeah\n\n,“ENERGY” is one of two tracks on RENAISSANCE to have a featured artist. This also marks the first collaboration between BEAM & Beyoncé although BEAM lends additional vocals on “HEATED” & “CUFF IT”.\nThe track boasts several beat changes in which the second change pays homage and similarity to “Don’t Jealous Me” off the Beyoncé-produced and curated album The Lion King: The Gift. The backend of the song overlays the vocal sample of Big Freedia’s “Explode” used in “BREAK MY SOUL” to create a seamless transition.\nThe song stirred up controversy before its release on July 29 2022 when the composer credits were released showing Kelis as a writer for “ENERGY” as it interpolated her hit “Milkshake”.\nThis took Kelis by surprise as beforehand nobody had notified her that her song was going to be interpolated on “ENERGY”. While this is mainly the cause of a contract Kelis had signed when she was still new and young in the industry that in the end gave her nearly no say in the ownership of her own songs she was still disappointed in Beyoncé for not contacting her personally. On the 3rd of August following Kelis' vocal displeasure on social media Beyoncé updated the track on all streaming services removing the interpolation of “Milkshake”.
BREAK MY SOUL,I'm 'bout to explode take off this load\nBend it bust it open won't ya make it go?\nYaka yaka yaka yaka yaka yaka yaka yaka\nYaka yaka yaka yaka yaka yaka yaka yaka (release ya wiggle)\nYaka yaka yaka yaka yaka yaka yaka yaka\nYaka yaka yaka yaka yaka yaka yaka yaka (release ya wiggle)\nAh la-la-la-la-la-la-la-la-la-la-la\nLa-la-la-la-la-la-la-la-la-la-la-la-la\nYou won't break my soul\nYou won't break my soul\nYou won't break my soul\nYou won't break my soul\nI'm telling everybody everybody\nEverybody everybody\nNow I just fell in love and I just quit my job\nI'm gonna find new drive damn they work me so damn hard\nWork by nine then off past five\nAnd they work my nerves that's why I cannot sleep at night\nMotivation\nI'm looking for a new foundation yeah\nAnd I'm on that new vibration\nI'm building my own foundation yeah\nHol' up oh baby baby\nYou won't break my soul (na na)\nYou won't break my soul (no-no na na)\nYou won't break my soul (no-no na na)\nYou won't break my soul (na na)\nI'm telling everybody na na everybody\nEverybody everybody\nRelease ya anger release ya mind\nRelease ya job release the time\nRelease ya trade release the stress\nRelease the love forget the rest\nI'ma let down my hair 'cause I lost my mind\nBey is back and I'm sleeping real good at night\nThe queens in the front and the Doms in the back\nAin't taking no flicks but the whole clique snapped\nThere's a whole lot of people in the house\nTrying to smoke with the 'gnac in your mouth\n(Good at night) and we back outside\nYou said you outside but you ain't that outside\nWorldwide hoodie with the mask outside\nIn case you forgot how we act outside\nGot motivation (motivation)\nI done found me a new foundation yeah (new foundation)\nShaking my new salvation (oh yeah yeah yeah new salvation)\nAnd I'ma build my own foundation yeah (oh yeah yeah yeah oh yeah yeah yeah)\nOh baby baby\nYou won't break my soul (you won't)\nYou won't break my soul (break my soul)\nYou won't break my soul (you won't)\nYou won't break my soul (break my soul)\nAnd I'm telling everybody (everybody)\nEverybody (everybody)\nEverybody (everybody)\nEverybody yeah\nYou don't seek it you won't see it\nThat we all know (can't break my soul)\nIf you don't think it you won't be it\nThat love ain't yours (can't break my soul)\nTrying to fake it never makes it\nThat we all know (can't break my soul)\nYou can have the stress and not take less\nI'll justify love\nWe go 'round in circles 'round in circles\nSearching for love ('round in circles)\nWe go up and down lost and found\nSearching for love\nLooking for something that lives inside me\nLooking for something that lives inside me\nYou won't break my soul\nYou won't break my soul\nYou won't break my soul\nYou won't break my soul\nI'm telling everybody telling everybody\nEverybody everybody\nYou won't break my soul\nYou won't break my soul no no\nYou won't break my soul\nYou won't break my soul\nAnd I'm telling everybody (oh yeah yeah)\nEverybody (oh yeah yeah)\nEverybody\nEverybody (oh yeah yeah)\nI'm taking my new salvation\nAnd I'ma build my own foundation yeah\nGot motivation (motivation)\nI done found me a new foundation yeah (new foundation)\nI'm taking my new salvation (new salvation)\nAnd I'ma build my own foundation yeah (own foundation)\nI'm 'bout to explode take off this load\nBend it bust it open won't ya make it go?\nYaka yaka yaka yaka yaka yaka yaka yaka\nYaka yaka yaka yaka yaka yaka yaka yaka (release ya wiggle)\nYaka yaka yaka yaka yaka yaka yaka yaka\nYaka yaka yaka yaka yaka yaka yaka yaka (release ya wiggle)\nRelease ya release ya\nRelease ya wiggle\nRelease ya anger release ya mind\nRelease ya job release the time\nRelease ya trade release the stress\nRelease the love forget the rest\n\n,Announced through social media just hours prior to its release “BREAK MY SOUL” serves as the lead single to Beyoncé’s seventh studio album RENAISSANCE. Heavily sampling Robin S.’s 1990 dance hit “Show Me Love” the song borrows inspiration from the genre. Also featuring additional vocals and another sample from bounce legend Big Freedia and her 2014 record “Explode.”The house production was handled by Beyoncé herself and R&B and pop icons Tricky Stewart and The-Dream—who teased his inclusion on the track via Twitter. The track released early on both Tidal—which Beyoncé part owns—and YouTube. On July 21 an instrumental and acapella version of the song were subsequently released.
CHURCH GIRL,Ooh\nOoh\nOoh\n\nI been up I been down\nFeel like I move mountains got friends that cried fountains ooh\nI'm warning everybody soon as I get in this party\nI'm gon' let go of this body I'm gonna love on me\nNobody can judge me but me I was born free\nI'll drop it like a thottie drop it like a thottie\nI said now pop it like a thottie pop it like a thottie (you bad)\nWe said now drop it like a thottie drop it like a thottie (you bad)\nChurch girls acting loose bad girls acting snotty (you bad)\nLet it go girl (let it go) let it out girl (let it out)\nI do that dance like you came up out the South girl (Uh uh)\nI said now drop it like a thottie drop it like a thottie (You bad)\nBad girl acting naughty church girl don't hurt nobody\nYou can be my daddy if you want to\nYou you can be my daddy if you want to\nYou can get it tatted if you want to\nYou you can get it tatted if you want to (she ain't gonna hurt nobody)\nPut your lighters in the sky get this motherfucker litty\nShe gon' shake them tass and them pretty tig old bitties (huh)\nSo get your acts up (what) get your map up (huh)\nI'ma back it up (ah) back it back it up (back it back it up)\nI'ma buss it buss it buss it buss it act it up (act it up)\nI see them grey sweats (grey sweats) I see a blank check\nI'm finally on the other side I finally found the extra smiles\nSwimming through the oceans of tears we cried (tears that we've cried)\nYou know we got church in the morning (the morning)\nBut you doin' God's work you goin' in\nShe ain't tryna hurt nobody she just tryna do the best she can\nHappy on her own with her friends without a man\nI'm warning everybody soon as I get in this party\nI'm gon' let go of this body I'm gonna love on me\nNobody can judge me but me I was born free\nI'll drop it like a thottie drop it like a thottie\nI said now pop it like a thottie pop it like a thottie (you bad)\nWe said now drop it like a thottie drop it like a thottie (you bad)\nChurch girls acting loose bad girls acting snotty (you bad)\nLet it go girl (let it go) let it out girl (let it out)\nI do that dance like you came up out the South girl (uh uh)\nI said now drop it like a thottie drop it like a thottie (you bad)\nBad girls acting raunchy church girl don't hurt nobody\nYou can be my daddy if you want to (you bad)\nYou you can get it tatted if you want to (you bad)\nPut your lighters in the sky get this motherfucker litty (you bad)\nShe gon' shake them tass and them pretty tig old bitties\nSo get your acts up (uh) get your map up (uh-uh)\nI'ma back it up (back it up) back it back it up (back it back it up)\nI'ma buss it buss it buss it buss it act it up (act it up)\nI see them grey sweats (grey sweats) I see a blank check\nMust be the cash 'cause it ain't you face\nIt must be the cash 'cause it ain't you face\nNow do it baby stick it baby do it baby stick it\nBaby do it baby spin it spin it baby do it\nSpin that cash a little harder and she might let you dive in the water\nDrop it like a thottie drop it like a thottie\nNa na na drop it like a thottie drop it like a thottie\nOh oh oh drop it like a thottie drop it like a thottie\nGood girls actin' bad church girls don't hurt nobody\nI ain't tryna hurt nobody tryna bring a life up in your body\n\n,“CHURCH GIRL” is an infusion of R&B Gospel Chicago Hip-Hop & Southern Hip-Hop.\nThe elements of R&B and Gospel shine through the verses and sample of “Center Of Thy Will” by The Clark Sisters. While the Southern Hip-Hop influence are found in the catchy chorus & post-chorus similar to 7/11 off Beyoncé’s 2013 Self-Titled. The Southern Hip-Hop instrumentation is further evident in the sample of “Drag Rap” by The Showboys that appears throughout the chorus & post-chorus. Chicago Hip-Hop elements are delivered in classic No I.D. fashion taking an 80’s gospel track looping & flipping the track to provide a rebirth and modern interpretation on Beyoncé’s RENAISSANCE. This also marks the third collaboration with No I.D. and first as a lead artist after “Family Feud” with JAY-Z & “See Me Now” with Kanye West Big Sean & Charlie Wilson.
PLASTIC OFF THE SOFA,Boy I know you can't help but to be yourself 'round me yourself 'round me no\nAnd I know nobody's perfect so I'll let you be I'll let you be\nIt's the way you wear your emotions on both of your sleeves ah\nTo the face you make when I tell you that I have to leave uh\nBut I like it baby\nI like it baby\nBut I like it baby baby\nBut I like it baby\nAh we don't need the world's acceptance\nThey're too hard on me they're too hard on you boy\nI'll always be your secret weapon in your arsenal your arsenal\nAnd I know you had it rough growing up but that's okay (that's okay baby) I like it rough (that's okay baby)\nEven when you let your feeling get in the way (let your feelings get in the way)\nI still like it baby\nOoh I like it baby (like it baby)\nBut I like it baby (like it baby) baby baby (like it baby)\nI still like it baby baby baby baby\nSay say you won't change\nI know the little things that make you you\nOoh the rest of the world is strange staying out late\nJust you and me and our family\nI think you're so cool even though I'm cooler than you\nBoy I love that you can't help but be yourself around me yourself around me\nSugar boy you trippin' I know I make up and make love so I let you be I let you be\nIt's the way you listen when I'm cryin' you let me lean in\nIt's the way you want one more kiss after you said you were leaving\nBut I like it baby baby (yes I like it baby yes I like it baby)\nYes I like it baby (like it baby)\nLike it (like it) I like it\nI love it baby\nI love you baby\nI like it I love it baby\nLike it baby\nYeah I like it oh like it I like it yeah\nI li-like it baby\nI like it baby\nNow I like it baby\nBaby come on over\nOoh like it baby\nAnd I need you baby\nBaby\n\n,“PLASTIC OFF THE SOFA” sees the only drastic change in pace on the entire album detailing the longevity of Beyoncé and JAY-Z’s relationship.\nWith vocals reminiscent of Beyoncé’s early work on “Dangerously In Love” and Destiny’s Child the subject matter provides an updated and mature perspective on the reasons why she ‘likes’ her husband throughout their relationship opposed to track ten off her debut album “That’s How You Like It”.
VIRGO'S GROOVE,Baby come over\nBaby come over\nBaby come over (baby come over)\nCome be alone with me tonight\nAll these emotions (all these emotions)\nIt's washing over me tonight ah\nRight here right now\nIced up bite down\nBaby lock it right now\nI want it right here right now\nCuddled up on the couch\nMotorboat baby spin around\nSlow-mo coming out my blouse\nI want it right here right now\nThere's nothing that I want as much as I want you\nA psychic hit me told me we got shit to do\nWe ain't got time like we used to\nBut we still shine like we used to\nAnd we still grind like we used to\nAnd we cut ties when we need to\nBut I need more you on me and me on you oh\n(I can be the one that takes you there)\nAnd I need more nudity and ecstasy oh\n(On this magic ride)\nBaby you can hit this don't be scared\n(Baby you can hit this don't be scared)\nIt's only gonna get you high\nBaby come over\nCome be alone with me tonight\nAll these emotions\nIt's washing over me tonight oh\nRight here (right here) right now (right now)\nIced up (iced up) bite down (bite down)\nBaby lock in (lock in) right now (right now)\nI want it right here (right here) right now (right now)\nCuddled up (cuddled up) on the couch (on the couch)\nMotorboat (motorboat) baby swerve around (swerve around)\nSlow-mo (slow-mo) coming out my blouse (out my blouse)\nI want it right here (right here) right now (right now)\nBaby come over\nI can be the one that takes you there\n(I can be the one that takes you there)\nOn this magic ride\nBaby come over\nBaby you can hit this don't be scared\n(Baby you can hit this don't be scared)\nIt's only gonna get you high\nBaby come over\nCome and woo me through the night\nBring all those emotions\nAnd show me how you feel inside\nBaby come over (baby come over)\nCome be alone with me tonight\nAll these emotions (all these emotions)\nIt's washing over me tonight uh\nYour hands your hands so strong when they're grippin' on me yeah\nSo dance all night long to the throb baby feel the beat\nDon't you leave yeah me\nDon't you leave\nSo use me (use me) pursue me (pursue me)\nKiss me when you bruise me (bruise me)\nTaste me (taste me) that fleshy part\nI scream so loud I curse the stars\nYou don't need no excuse\nTo touch somebody (touch me)\nTo love somebody (love me)\nTo trust somebody (will you trust me?)\nNow go ahead and hug somebody 'cause I can see the light in you\nEverybody want somebody (I want you)\nEverybody got somebody (I got you)\nSo come over and want my body 'cause\n(You are) uh uh you are (you are)\nThe love of my life (the love of my life)\nYeah yeah yeah yeah (my life)\nYou're my life baby you're the love of my life\n(You are) oh baby keep me warm\nOoh he bring me back to life\nOoh you make me lose my pride\nOoh that loving keep me high\nThat's why I love you baby\nThat's why I trust you baby (trust you baby)\nLove somebody love somebody love somebody baby\nYou're the love of my life\nYou're the love of my life\nYour love keeps me high\nYour love gives me life\nYour love your love\nGood Lord baby don't you ever switch it up\nTalk to me nice (nice)\nYou're the love of my life of my life\nYou're the love of my life\nBaby you're the love of my life\nYou're the love of my life\nBaby love me love me love me\nAnd baby let me love you back\nTouch me touch me please me\nKiss me boy\nYou're the only love of my life\nYou are yeah you are\n(You are)\nThe love of my life\nMy life\n\n,“Virgo’s Groove” is one of the most sex-influenced tracks on the album. Beyoncé’s zodiac sign is a Virgo since she was born on September 4.\nAs one of the three earth signs who are considered the most grounded out of them all Virgos' sex life rely heavily on physical touch and closeness to someone. They are known to be really lusty sensual have high libido and are considered best in bed when they’re with someone they love trust and have some sort of connection with. Even though Virgos are considered patient lovers Bey’s expressing the tension she feels as she can’t wait no more. She and her lover don’t have time like they used to so she’s calling him to come as her excitement is getting bigger and taking over her. This is the third time Beyoncé is mentioning Virgo in her music previously done on her debut album Dangerously in Love with track 14 called “Gift from Virgo” and mentioning the sign in her song “Signs.”
MOVE,Move out the way I'm with my girls and we all need space\nWhen the queens come through (queen come through) part like the red sea\nMove out the way (how many times) how many times I'ma say it?\nIt's a home-run when the team touch-base\nBrukup it's brukup it's brukup (brukup)\nHumble like we 'pon the come up (mmh)\nDon't make it turn into trouble\n'Cause we coming straight out the jungle (Grace)\nBrukup it's brukup it's brukup (Grace Jones)\nHumble like we 'pon the come up (Grace Jones)\nDon't make it turn into trouble\n'Cause we coming straight out the jungle\nMove move move move (move)\nYeah you gotta mo-move\nAnything you do\nWill be held against you\nYou have to move move move move\nSkrrt off make room\nStampede coming through\nBig boss on the move yeah\nOh-oh-oh-oh bounce it (yeah)\nEverybody around me (ooh) yeah\nOh-oh-oh-oh bounce it (bounce it)\nPick it up like you found it found it\nMe and my girlfriends came out to play (purr)\nFireworks and champagne Chantilly lace\nBroken glass in the disco sex on the brain (ah)\nWatch my reflection -ck out my face\nMove out the way I'm with my girls and we all need space mmh\nWhen the queens come through part like the red sea\nMove out the way (how many times) how many times I'ma say it?\nIt's a home-run when the team touch base\nWho this girl in the back of the room? Who this girl in the back of the room?\nWho this girl in the back of the room? It's the groove it's the Yoncé groove\nWho this girl in the back of the room? Who this girl in the back of the room?\nIt's the groove it's the Yoncé groove it's a party in the hotel room\nFind me\nI don't need to call him I don't need no phone yeah\nI don't need to fall yeah you know me I'm vibin'\nYou and me is a vibe yeah we always catch a vibe eh\nGive me a little fire give me a little flame yeah\nGive me a relight and wine uh I don't want to contemplate\nGive me a little fire give me a relight and wine yeah\nI want to make you shine (queen come through)\nThis is how I move this is how I move\nThis is why I live sweet moments like this\nThis is how we groove this is how we kiss (queen come through queen come through)\nThis is how I move this is how I move\nThis is how we live sweet moments like this\nThis is how we groove this is how we kiss (wow)\nBrukup it's brukup it's brukup\nHumble like we 'pon the come up\nDon't make it turn into trouble\n'Cause we coming straight out the jungle\nBrukup it's brukup it's brukup\nWe come through we slaging them bundles\nDon't make it turn into trouble\n'Cause we coming straight out the jungle\n\n,“MOVE” explores a mixture of afrobeats funk & bounce with the help of Grace Jones on the chorus & refrain as well as a brief addition from rising Nigerian artist Tems. This is also the first collaboration between Beyoncé Grace Jones & Tems and the first song on a Beyoncé studio album to feature two female artists.\nThe hard-hitting constant bass and chant-like chorus electrifies the listener into a rhythm that details Beyoncé & her girls looking for space on the dancefloor.
