name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I'M THAT GIRL,0.554,0.535,5,-8.959,0,0.186,0.0616,1.32e-05,0.124,0.136,105.865
COZY,0.556,0.63,7,-8.15,1,0.102,0.000828,0.00468,0.155,0.367,149.147
ALIEN SUPERSTAR,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892
CUFF IT,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
ENERGY,0.903,0.519,1,-9.151,1,0.26,0.281,0.000106,0.155,0.587,114.991
BREAK MY SOUL,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942
CHURCH GIRL,0.792,0.919,2,-5.688,1,0.276,0.0381,5.1e-06,0.368,0.22,92.028
PLASTIC OFF THE SOFA,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057
VIRGO'S GROOVE,0.683,0.85,11,-5.042,0,0.0699,0.0781,1.09e-06,0.741,0.598,107.988
MOVE,0.876,0.628,1,-6.595,1,0.0935,0.0165,0.0339,0.0938,0.809,118.028
HEATED,0.785,0.732,1,-5.724,1,0.164,0.0636,0.000807,0.265,0.496,110.952
THIQUE,0.823,0.536,5,-10.123,0,0.319,0.0616,0.0143,0.326,0.537,128.955
ALL UP IN YOUR MIND,0.744,0.577,9,-7.228,1,0.0631,0.0672,3.06e-06,0.178,0.0805,135.869
AMERICA HAS A PROBLEM,0.789,0.614,1,-6.491,1,0.0579,0.00348,0.00152,0.283,0.108,126.035
PURE/HONEY,0.857,0.558,1,-7.888,1,0.134,0.0122,4.8e-05,0.288,0.453,123.973
SUMMER RENAISSANCE,0.674,0.625,1,-9.593,1,0.0514,0.0843,0.0015,0.11,0.208,120.004
